Reading	X	Y	Z	L*	a*	b*
2	36.699216	40.496149	30.790318	69.821460	-7.566309	3.966648
3	36.661432	40.484939	30.686845	69.813540	-7.656568	4.114483
4	36.663000	40.473153	30.733742	69.805212	-7.615509	4.026889
5	36.695409	40.463636	30.876498	69.798486	-7.479815	3.792813
6	36.673183	40.470242	30.746158	69.803155	-7.573109	4.003965
7	36.651767	40.462598	30.692559	69.797752	-7.620354	4.078336
8	36.682091	40.472133	30.773097	69.804491	-7.549541	3.964244
9	36.664934	40.470438	30.721278	69.803293	-7.600871	4.043037
10	36.666146	40.472708	30.725937	69.804898	-7.603792	4.038530
